record,translation_backend,grader,raw_faith,adj_faith,raw_fluent,adj_fluent,hallucinated,preamble,refusal,notes
full_chunk_0001,public-history,claude-sonnet-4-6,4,4.0,4,4.0,False,False,False,Accurate rendering of heavily corrupt OCR; conjectural brackets honest; 'Aquino' inferred plausibly from 'Agilo'
full_chunk_0001,minimax,minimax-m2.7,4,4.4,4,4.7,False,False,False,"Good translation; 'prefaces' should be 'importunity'; date rendering accurate (Aug 25, 1498)."
full_chunk_0001,minimax-v2,minimax-m2.7,4,4.4,4,4.7,False,False,False,Good overall translation; 'diffusors' for definitoribus is non-standard but conveys the sense of order officials.
full_chunk_0002,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,"Perfect mirror: 'Inc.'→'Begins', 'Causamque'→'And the cause', all [unclear] tokens preserved exactly."
full_chunk_0002,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,Contains [unclear] placeholder and ends mid-sentence; minor interpretive liberties taken with garbled OCR passages
full_chunk_0002,minimax-v2,minimax-m2.7,3,3.5,3,3.7,True,False,False,Some misreadings in second half; 'tumor' for 'terror' appears to be a mistranslation of Latin 'tenebris'
full_chunk_0003,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate throughout; [unclear] markers used honestly for OCR damage; all recoverable content correctly rendered
full_chunk_0003,minimax,minimax-m2.7,3,3.5,3,3.7,False,False,False,"Translation captures main ideas despite corrupted Latin source, but ends mid-sentence and has awkward phrasing"
full_chunk_0003,minimax-v2,minimax-m2.7,4,4.4,3,3.7,False,False,False,Generally accurate but slightly expanded in places; some interpretive choices in translating medieval terminology
full_chunk_0004,public-history,claude-sonnet-4-6,5,5.0,5,5.0,False,False,False,Accurate rendition of highly repetitive Latin formula; 'Machamorium' retained as proper noun; repetition count slightly compressed but structurally faithful
full_chunk_0004,minimax,minimax-m2.7,3,3.5,5,4.5,False,False,False,Selectively translated from Latin; many sections omitted or paraphrased rather than faithfully rendered word-for-word
